userName,score,content
Rian Cess,5,"Aplikasinya keren fiturnya jg banyak dan mudah dimengerti, sekarang beli token, bayar tagihan, tambah daya komplen pengaduan ngga pake ribet, semua bisa jadi lebih mudah, bisa kapan saja dan dimana saja, buat yg belum coba, yuk buruan download."
Victor Marthin,5,Aplikasi kelistrikan terlengkap di Indonesia.. Semua makin mudah.. Sangat membantu dalam pelaporan gangguan dan cepat direspon dan ditangani petugas. Pengecekan riwayat pembelian token dan pembacaan meter secara mandiri untuk pelanggan pascabayar.. Ada Marketplace dengan promo diskon yang menarik.. Fitur penyambungan baru juga sangat membantu dan bisa dipantau progresnya.. Maju terus PLN.. PLN Terbaik👍💯
NOVAL YUSUF M,3,"Dengan adanya aplikasi ini sama saja responnya normatif. Tempat saya satu deret mati listrik sudah 6 jam, tapi deret depan hidup. Status laporan hanya pengecekan jaringan padahal laporannya sudah 5 jam yang lalu. Ada tetangga statusnya berubah otw didatangi tapi posisinya berubah berubah dan datangnya lama banget nget nget."
Putra Abu Yazid P,5,"Terima kasih PLN, Aplikasinya keren banget, sangat membantu sekali dengan berbagai fitur yang sangat diperlukan kami sebagai pelanggan dari pengisian Token, pembelian, pengaduan, penyambungan baru, tambah daya saya pun bisa di aplikasi ini, dan berbagai fitur lainnya yg baru seperti iconnet untuk intenet dan SPKLU yg kedepannya pasti sangat bermanfaat infonya. Semua makin mudah dan cepat dengan PLN Mobile."
Nabila Riyadi,1,"Meteran listrik saya selalu menunjukkan periksa saat akan mengisi token. Karena itu, Saya sering pengaduan lewat pln mobile namun akhir akhir ini gangguan dari apps mengharuskan saya kembali memakai pulsa untuk menelpon pln secara manual, tolong diperbaiki dong! Sudah lebih darii 5 bulan appsnya belum ada perkembangan"
Yek Ibrahim,5,"Terimakasih banyak buat pln mobiel, semua jadi mudah dalam urusan listrik, terutama proses pengajuan sambung baru dan perubahan daya, sangat cepet sekali prosesnya tidak butuh waktu lama"
addy permadi,5,Melakukan transaksi pembelian dari pkl 12.13 dan langsung melakukan pembayaran... Sampai sekarang status masih menunggu pembayaran... Padahal saldo sudah terpotong... G bikin mudah malah bikin susah... Edit : Setelah komplain sana sini langsung satset... diperbaiki dan langsung bisa..... Mungkin masih baru jadi kurang satset... Layanan oke pengaduan cepat tanggap... Gaaas
mike lindakarera,1,Kok ngelag ya app nya yg sekarang?. Padahal dulu pemakaiannya bagus lho. Sekarang kok setiap masuk aplikasi selalu keluar2 sendiri dan layar jd hitam semua. Padahal udh berkali2 di refresh dan restart tapi masih aja begitu terus setiap masuk aplikasi pln ini. Tolong dong diperbaikin app nya. Saya jd gak bisa bayar listrik ini🤧
shohih hulwan,5,"ULC MELAYU DUA ,, sangat"" profesional kerjanya cepat dan memudahkan bagi warga Tangerang Teluknaga ,,dengan adanya aplikasi ini pengaduan seperti listrik padam dan pemasangan listrik atau yang lain nya bisa dilakukan dengan mudah dan cepat ,,denga respon yang sangat baik dan sopan mantappp👍🏻👍🏻👍🏻"
Muhammad Iqromul Aziz,5,"Aplikasi bekerja sangat respon cepat, petugasnya ramah dan alat memadai mantap sangat membatu disaat ada ganguan, bisa hemat waktu. fiturnya mudah di mengerti dan saya bisa mendapatkan informasi terbaru dari PLN Pelayanan memuaskan Terima kasih PLN matur tampiasih"
Anas Azwar,5,"Praktis: Memudahkan pengguna dalam memantau dan membayar tagihan listrik secara cepat dan mudah. Informatif: Menyediakan informasi yang lengkap terkait tagihan, konsumsi energi, dan riwayat pembayaran. Mudah Digunakan: Antarmuka yang ramah pengguna membuat navigasi di aplikasi menjadi lebih intuitif. Handal: Aplikasi ini dapat diandalkan dalam memproses pembayaran dan memberikan informasi yang akurat. Efisien: Mempercepat proses pembayaran tagihan listrik tanpa ribet."
Mas Azali,5,"Alangkah baiknya dan efisien jika pengisian semuanya bisa diakses lewat HP; jika sudah melakukan transaksi lewat aplikasi ini secara otomatis sudah masuk di meteran tanpa harus memasukkan token ke meteran. Ini baru namanya aplikasi keren, tapi kalau selesai transaksi di aplikasi setelah itu harus memasukkan token ke meteran itu namanya aplikasi agak keren"
azhar galih,5,"Aplikasi sangat membantu, banyak fitur yg dihadirkan seperti pemberitahuan pemadaman, bisa cek tagihan, bisa pengajuan pasang baru migrasi ataupun tambah daya yang mudah cepat dan praktis, terus bisa pengaduan juga semisal ada kendala dimeteran kita. PLN Mobile memang jawaban buat kita semua yg gak mau ribet. Terbaiklah PLN 👍🥳🎉"
43_Gusti Ayu Karunia Sidhi Utami,5,"Saya sungguh puas dengan layanan PLN Mobile yang terintegrasi dalam aplikasi. Pengalaman saya menggunakan aplikasi ini sungguh memudahkan berbagai urusan terkait listrik. Antarmuka yang bersih dan intuitif membuat saya dengan cepat dapat mengecek tagihan bulanan, melacak pemakaian listrik, dan bahkan melakukan pembayaran tanpa kendala. Aplikasi ini tidak hanya memberikan kenyamanan dalam proses administratif, tetapi juga memberikan notifikasi real-time yang membantu saya memahami penggunaannya"
Se Wi,1,"Udah sering transaksi di pln mobile. Tapi ga pernah dapet kupon undian. Barusan ada 1 kupon undian. Begitu saya update aplikasi PLN nya,, eh kuponnya hilang. 🙄 ... Bikin program cuma ngimik doang kek nya."
